Shorr Packaging Corp.,,,,,Order #:,,70615284-00,,,,,70615284-00,,lines on Order,,19,Total Pallets,75,Date:,11/7/24,
ITEM,QTY ORDERED,Total Pallets for Line Item,,QTY per Pallet,Overhang?,Overhang Both Sides?,Amount ,One Side Overhang,Otherside Overhang if App,,,ITEM,QTY ORDERED,Total Pallets for Line Item,,QTY per Pallet,Overhang?,Overhang Both Sides?,Amount ,One Side Overhang,Otherside Overhang if App
10202638,9600,4,0.00,2400.00,YES,YES,3 IN,46.625,40.875,,,10126054,375,3,0,125,YES,YES,50 IN,88.75,79.5
10195770,6400,4,0.00,1600.00,YES,0,0,43.125,43.125,,,10202644,560,2,0,280,YES,NO,6 IN,55.25,32.25
10202639,7200,6,0.00,1200.00,YES,YES,6 IN,45.375,43.75,,,10195777,840,6,0,140,YES,NO,6.5 IN,54.5,35.375
10195771,3200,4,0.00,800.00,YES,NO,4 IN,42.375,42.375,,,10202640,2400,4,0,600,YES,NO,0,54.25,33.25
10202640,2400,4,0.00,600.00,YES,NO,0,54.25,33.25,,,10202645,560,2,0,280,YES,YES,6 IN,54.125,42.125
10195772,1120,2,0.00,560.00,YES,YES,6 IN,53.375,46.375,,,10195772,1120,2,0,560,YES,YES,6 IN,53.375,46.375
10202642,5040,18,0.00,280.00,NO,NO,0,0,0,,,10202643,560,2,0,280,YES,YES,9 IN,53.25,48.5
10202643,560,2,0.00,280.00,YES,YES,9 IN,53.25,48.5,,,10195776,280,2,0,140,YES,NO,4 IN,50.75,32
10195773,560,2,0.00,280.00,YES,NO,0,50.375,34.5,,,10195773,560,2,0,280,YES,NO,0,50.375,34.5
10202644,560,2,0.00,280.00,YES,NO,6 IN,55.25,32.25,,,10202638,9600,4,0,2400,YES,YES,3 IN,46.625,40.875
10202645,560,2,0.00,280.00,YES,YES,6 IN,54.125,42.125,,,10202639,7200,6,0,1200,YES,YES,6 IN,45.375,43.75
10202647,560,4,0.00,140.00,NO,NO,0,0,0,,,10195770,6400,4,0,1600,YES,0,0,43.125,43.125
10195775,280,2,0.00,140.00,NO,NO,0,0,0,,,10195771,3200,4,0,800,YES,NO,4 IN,42.375,42.375
10158624,280,2,0.00,140.00,NO,NO,0,0,0,,,10202642,5040,18,0,280,NO,NO,0,0,0
10195776,280,2,0.00,140.00,YES,NO,4 IN,50.75,32,,,10202647,560,4,0,140,NO,NO,0,0,0
10202660,560,4,0.00,140.00,NO,NO,0,0,0,,,10195775,280,2,0,140,NO,NO,0,0,0
10195777,840,6,0.00,140.00,YES,NO,6.5 IN,54.5,35.375,,,10158624,280,2,0,140,NO,NO,0,0,0
10126054,375,3,0.00,125.00,YES,YES,50 IN,88.75,79.5,,,10202660,560,4,0,140,NO,NO,0,0,0
23186503,24,2,0.00,12.00,NO,NO,0,0,0,,,23186503,24,2,0,12,NO,NO,0,0,0
15226456,50,0,#CALC!,,,,,,,,,0,0,0,0,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,15226456,50,0,#CALC!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,#SPILL!,,,,,,,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,0,0.00,0.00,0,0,0,0,0,,,0,0,0,#SPILL!,0,0,0,0,0,0
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
